emp_no,first_name,last_name,title
40773,Shimshon,Aingworth,Senior Staff
64790,Shin,Piveteau,Engineer
214634,Shirish,Vickson,Engineer
84451,Shiv,Aumann,Senior Engineer
416892,Shooichi,Vandervoorde,Engineer
456982,Shounak,Dratva,Engineer
408019,Shridhar,Chleq,Assistant Engineer
52770,Shugo,Yurek,Senior Staff
497835,Shuho,Laurillard,Technique Leader
38947,Shuichi,Ruemmler,Senior Staff
27620,Shuji,Kandlur,Engineer
69219,Shuky,Redmiles,Senior Staff
270716,Shunichi,Baer,Staff
246764,Shuzo,Czaja,Staff
107486,Siamak,Luiz,Senior Engineer
220528,Sibyl,Rabehasaina,Senior Staff
49464,Siddarth,Cappelletti,Staff
56415,Sigeru,Nivat,Senior Staff
467886,Sivanarayana,Chandrasekhar,Senior Staff
248758,Snehasis,Muhlberg,Senior Staff
289807,Soenke,Lemarechal,Senior Staff
462795,Somnath,Cummings,Senior Staff
457305,Sorina,Lakshmanan,Staff
40301,Spyrose,Felder,Senior Engineer
81995,Sreekrishna,Brender,Engineer
205627,Stabislas,Broder,Engineer
18583,Stafford,Honglei,Staff
109598,Stamatina,Auyong,Senior Staff
33215,Steen,Fasbender,Technique Leader
222206,Stein,Uludag,Senior Staff
80432,Stella,Figueira,Senior Staff
259718,Stepehn,Bouloucos,Senior Staff
287323,Steve,Dengi,Staff
82351,Stevo,Thambidurai,Senior Staff
402664,Subhada,Janetzko,Senior Engineer
219417,Subhrajyoti,Denna,Staff
436558,Subir,Greibach,Senior Engineer
14104,Sudhanshu,Demian,Senior Staff
201915,Sudharsan,DeMori,Engineer
480066,Suebskul,Menhardt,Engineer
239664,Sugwoo,Michaels,Engineer
480035,Sukumar,Georg,Senior Staff
98288,Sumali,Huttel,Senior Staff
54795,Sumant,Nergos,Senior Staff
426228,Supot,Badache,Engineer
18617,Surveyors,Crouzet,Senior Staff
219967,Susanna,Reeken,Senior Staff
103316,Susanne,Peternell,Engineer
204133,Susuma,Bergere,Senior Staff
78363,Susumu,Fritzsche,Engineer
37945,Suzette,Butterworth,Senior Engineer
215746,Sven,Speer,Staff
84840,Sverrir,Neimat,Staff
293154,Syozo,Maliniak,Senior Staff
32844,Tadahiko,Melton,Engineer
230002,Tadahiro,Backhouse,Engineer
414027,Tadanori,Msuda,Engineer
18810,Taiji,Jarecki,Engineer
271106,Taisook,Kampfer,Engineer
72918,Takahira,Szilard,Senior Staff
432523,Takahiro,Maquelin,Engineer
294144,Takanari,Ermel,Senior Staff
230865,Takushi,Brattka,Staff
262636,Tamiya,Reutenauer,Senior Engineer
481764,Teiji,Marrakchi,Senior Engineer
240438,Temple,Cyre,Senior Staff
32347,Terresa,Peres,Senior Staff
221126,Tesuya,dAstous,Engineer
456767,Tetsurou,Schreiter,Senior Staff
30035,Tetsushi,Conta,Senior Staff
10663,Teunis,Noriega,Technique Leader
458134,Thanasis,Standera,Senior Staff
51057,Theirry,Albarhamtoshy,Senior Staff
284691,Theron,Ressouche,Engineer
253029,Thodoros,Thimonier,Engineer
246798,Tianruo,Strooper,Senior Staff
416720,Tokuyasu,Xiaoshan,Engineer
84508,Tommaso,Vidya,Engineer
433157,Tomofumi,Serna,Staff
242081,Tomokazu,Pargas,Assistant Engineer
254821,Tonny,Couchot,Staff
47016,Toong,Litecky,Senior Staff
27767,Tooru,Veldwijk,Senior Staff
427571,Torsten,Ranta,Engineer
40269,Toshiki,Ghazalie,Senior Staff
432787,Toshiko,Ibel,Senior Engineer
286370,Toshimitsu,Seuren,Senior Staff
76640,Tristan,Mitsuhashi,Engineer
287984,Troy,Kobuchi,Engineer
70469,Tru,Miyakawa,Senior Staff
224390,True,Shobatake,Senior Staff
52283,Trygve,Krupka,Senior Staff
467918,Tsuneo,Skrikant,Staff
64487,Tsutomu,Rebaine,Engineer
290478,Tsvetan,Sherertz,Assistant Engineer
408417,Tsz,Daescu,Staff
28988,Tua,Giveon,Technique Leader
49177,Tze,Bach,Engineer
206966,Tzu,Sichman,Engineer
440450,Tzvetan,Scharstein,Senior Staff
85702,Udi,Merks,Engineer
450255,Udo,Waymire,Technique Leader
480178,Uinam,Rahier,Senior Staff
35798,Ulf,Oberman,Senior Engineer
270084,Ulises,Frolund,Senior Staff
36733,Uma,Reinhard,Staff
218831,Unal,DuBourdieux,Engineer
419953,Ung,Orlowski,Senior Staff
238252,Uno,Suppi,Staff
241292,Uri,Lampe,Senior Staff
249325,Ute,Pokrovskii,Staff
251403,Utpal,DuBourdieux,Technique Leader
20100,Utz,Heuter,Senior Staff
82511,Uwe,Koblick,Engineer
277362,Uzi,Kugler,Senior Staff
295278,Val,Barvinok,Assistant Engineer
222354,Valdiodio,Schlumberger,Assistant Engineer
29418,Valery,Mersereau,Assistant Engineer
492000,Valeska,Cools,Senior Staff
445570,Van,Nations,Technique Leader
424984,Vasilis,Waleschkowski,Engineer
88647,Vasiliy,Ratnaker,Engineer
443873,Vatsa,Ramsay,Senior Staff
239426,Vesna,Fairtlough,Engineer
20248,Vidar,Demri,Staff
238422,Vishv,Angelov,Senior Staff
92454,Visit,McFarlan,Engineer
277316,Vitali,Rothenberg,Senior Staff
90077,Vivian,Guerreiro,Assistant Engineer
88958,Vojin,Coombs,Senior Staff
44959,Volkmar,Uhrik,Engineer
260249,Vugranam,Beausoleil,Staff
201801,Waiman,Genin,Engineer
27331,Wanqing,Krohm,Senior Staff
273396,Wayne,Baba,Engineer
402827,Weidon,Pollacia,Senior Staff
426958,Weijing,Viele,Engineer
481050,Weiru,Burnard,Senior Staff
258470,Weiwu,Butner,Staff
469269,Weiyi,Codenie,Engineer
104845,Werner,Lodder,Senior Staff
41357,Willard,Vernadat,Engineer
436827,Wojceich,Limongiello,Senior Staff
61873,Woody,Rusmann,Assistant Engineer
46328,Wuxu,Trogemann,Senior Staff
89806,Xiadong,Shinomoto,Engineer
259273,Xiahua,Gomatam,Senior Engineer
99373,Xiaobin,Christianini,Senior Staff
216502,Xiaocheng,Suermann,Engineer
214215,Xiaoqiang,Cardazo,Senior Staff
454791,Xiaoqiu,Pietracaprina,Senior Engineer
50293,Xinan,Rindone,Engineer
28193,Xinglin,Mitsuhashi,Engineer
209101,Xinyu,Edelhoff,Senior Engineer
41520,Xiong,Uhrik,Senior Engineer
457411,Xudong,Peck,Senior Engineer
295254,Xuejun,Pfau,Senior Staff
29130,Xumin,Thorensen,Staff
17369,Yaghout,Kenevan,Engineer
486918,Yagil,Remmers,Senior Staff
91229,Yahiko,Hebden,Engineer
30938,Yakkov,Samarati,Senior Staff
217286,Yannik,Spelt,Technique Leader
82069,Yechezkel,Perfilyeva,Engineer
58497,Yechiam,Cairo,Senior Staff
203946,Yefim,Marwedel,Senior Staff
288560,Yifei,Birjandi,Senior Staff
230354,Yinghua,Lorho,Senior Staff
95181,Yishai,Cappelli,Staff
418860,Ymte,Dalton,Senior Staff
85445,Yongdong,Pollock,Staff
90614,Yonghoan,Trogemann,Assistant Engineer
66757,Yonghong,Baig,Staff
213016,Yongmao,Fontan,Engineer
21546,Yongmin,Lanteri,Senior Staff
408654,Yongqiao,Cochrane,Senior Staff
485799,Yoshimitsu,Litvinov,Senior Staff
460707,Yoshinari,Lanteri,Engineer
205699,Youjian,Yetto,Senior Staff
51060,Youngkon,Rohrbach,Engineer
85288,Younwoo,Luders,Engineer
41609,Yucai,Simmen,Senior Staff
42955,Yucel,Lortz,Engineer
217272,Yuchang,Eldridge,Senior Staff
48904,Yuichiro,Malabarba,Senior Staff
220611,Yuping,Babb,Senior Staff
228248,Yuriy,Plump,Senior Staff
74800,Yuuichi,Conde,Assistant Engineer
53499,Zdislav,Mandelberg,Engineer
426644,Zejun,Broomell,Engineer
17447,Zengping,Boreale,Staff
92577,Zhanqiu,Farrow,Assistant Engineer
46000,Zhaofang,Penn,Senior Staff
472790,Zhenbing,Ibel,Senior Engineer
86655,Zhenhua,Lorys,Engineer
487008,Zhigen,Raney,Senior Staff
207068,Zhiguo,Ariola,Senior Staff
24394,Zhonghui,Conta,Staff
246146,Zhongwei,Melski,Engineer
281570,Zijian,Covnot,Assistant Engineer
233759,Zissis,Lodder,Engineer
59640,Zita,Hiltgen,Staff
19803,Ziva,Kowalchuk,Engineer
58454,Ziya,Zambonelli,Engineer
26788,Zongyan,Dalphin,Engineer
59869,Zsolt,Riefers,Senior Staff
202414,Zvonko,Murthy,Senior Staff
